Phone timestamp;RR-interval [ms]
2023-08-07T15:07:08.839;837
2023-08-07T15:07:09.676;817
2023-08-07T15:07:10.493;856
2023-08-07T15:07:11.349;909
2023-08-07T15:07:12.258;885
2023-08-07T15:07:13.143;933
2023-08-07T15:07:14.076;853
2023-08-07T15:07:14.929;815
2023-08-07T15:07:15.744;837
2023-08-07T15:07:16.581;869
2023-08-07T15:07:17.450;894
2023-08-07T15:07:18.344;867
2023-08-07T15:07:19.211;841
2023-08-07T15:07:20.052;792
2023-08-07T15:07:20.844;730
2023-08-07T15:07:21.574;732
2023-08-07T15:07:22.306;748
2023-08-07T15:07:23.054;797
2023-08-07T15:07:23.851;850
2023-08-07T15:07:24.701;875
2023-08-07T15:07:25.576;840
2023-08-07T15:07:26.416;785
2023-08-07T15:07:27.201;784
2023-08-07T15:07:27.985;811
2023-08-07T15:07:28.796;868
2023-08-07T15:07:29.664;909
2023-08-07T15:07:30.573;925
2023-08-07T15:07:31.498;860
2023-08-07T15:07:32.358;821
2023-08-07T15:07:33.179;833
2023-08-07T15:07:34.012;858
2023-08-07T15:07:34.870;920
2023-08-07T15:07:35.790;935
2023-08-07T15:07:36.725;910
2023-08-07T15:07:37.635;814
2023-08-07T15:07:38.449;807
2023-08-07T15:07:39.256;813
2023-08-07T15:07:40.069;864
2023-08-07T15:07:40.933;978
2023-08-07T15:07:41.911;952
2023-08-07T15:07:42.863;863
2023-08-07T15:07:43.726;812
2023-08-07T15:07:44.538;813
2023-08-07T15:07:45.351;844
2023-08-07T15:07:46.195;893
2023-08-07T15:07:47.088;936
2023-08-07T15:07:48.024;944
2023-08-07T15:07:48.968;901
2023-08-07T15:07:49.869;818
2023-08-07T15:07:50.687;822
2023-08-07T15:07:51.509;864
2023-08-07T15:07:52.373;910
2023-08-07T15:07:53.283;936
2023-08-07T15:07:54.219;938
2023-08-07T15:07:55.157;844
2023-08-07T15:07:56.001;820
2023-08-07T15:07:56.821;825
2023-08-07T15:07:57.646;852
2023-08-07T15:07:58.498;932
2023-08-07T15:07:59.430;1002
2023-08-07T15:08:00.432;910
2023-08-07T15:08:01.342;840
2023-08-07T15:08:02.182;841
2023-08-07T15:08:03.023;875
2023-08-07T15:08:03.898;927
2023-08-07T15:08:04.825;949
2023-08-07T15:08:05.774;874
2023-08-07T15:08:06.648;824
2023-08-07T15:08:07.472;756
2023-08-07T15:08:08.228;763
2023-08-07T15:08:08.991;776
2023-08-07T15:08:09.767;854
2023-08-07T15:08:10.621;893
2023-08-07T15:08:11.514;949
